# ----------------------------------------
# Transações: ID da Transação
# Conta: GRUPO GUANABARA | Sites
# Propriedade: Guanabara – GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
ID da Transação,Origem / mídia da sessão,Compras de e-commerce,Receita de compra,Sessões
1B7SVK,google / cpc,1,4776.279998,1
1DB358,google / organic,1,4738.800001,1
1C8YZX,google / organic,1,4735.440002,1
1GFXW1,google / cpc,1,4727.939999,1
1EMGUM,whatsapp / bot,1,4716.419999,1
(not set),chatgpt.com / referral,33,4713.869991,2779
1BKMQX,google / cpc,1,4701.099998,1
1CU326,google / organic,1,4696.980002,1
1D7NTM,google / organic,1,4696.979999,1
1F2VSV,google / cpc,1,4696.260002,1
19VG55,(direct) / (none),1,4689.760002,1
1B6FQQ,google / cpc,1,4689.679999,1
1BCX2R,google / cpc,1,4688.339997,1
1ERUM0,google / cpc,1,4659.22,1
1EBDBC,google / cpc,1,4655.749997,1
1EPMX6,google / cpc,1,4648.519998,1
1GAPDA,google / cpc,1,4623.960001,1
1GAPRV,google / cpc,1,4623.960001,1
1GEBJS,google / cpc,1,4608.06,1
1EVD6U,google / cpc,1,4602.479999,1
1EHAB7,google / cpc,1,4599.919998,1
1CGN3N,br.search.yahoo.com / referral,1,4597.499999,1
1F399F,google / cpc,1,4584.299998,1
1J8Y6Q,google / organic,1,4583.160002,1
1AW3R4,google / cpc,1,4570.740002,1
1EWBHW,google / cpc,1,4560.12,1
1C29FH,(direct) / (none),1,4542.959998,1
1FZYY9,google / cpc,1,4538.519998,1
1FK9FR,google / cpc,1,4529.07,1
1ESUBD,google / cpc,1,4515.360002,1
1G3F0E,(direct) / (none),1,4502.970002,1
1DN60A,(direct) / (none),1,4481.880001,1
1CMJZT,(data not available),1,4462.45,1
1H0CSU,google / cpc,1,4439.879998,1
1AV1RP,google / cpc,1,4437.600001,1
1A1T1G,bing / organic,1,4433.679997,1
1F6VA6,(direct) / (none),1,4417.920001,1
1CUFKW,google / cpc,1,4408.559997,1
1B6F3W,google / cpc,1,4403.180001,1
1FE6NN,google / cpc,1,4383.999998,1
1HWR4B,google / cpc,1,4376.239998,1
1E61JC,google / organic,1,4357.56,1
18NY56,rodoviaria-poa.com.br / referral,1,4354.62,1
1G25AQ,google / cpc,1,4339.960002,1
1FSJA9,google / cpc,1,4328.520003,1
1ES48J,google / cpc,1,4326.960003,1
1FDV9Q,google / cpc,1,4308.420001,1
1F5EX7,google / organic,1,4304.85,1
1B8EM4,(direct) / (none),1,4304.08,1
1G86VR,google / cpc,1,4301.250001,1
1ET5PV,google / cpc,1,4297.930002,1
1GVHMY,google / cpc,1,4297.359999,1
1GVKQ2,(direct) / (none),1,4297.359999,1
1AV7FZ,(direct) / (none),1,4296.240001,1
19NGVC,google / cpc,1,4290.93,1
19NJYY,(direct) / (none),1,4273.799998,1
1FPMYW,google / cpc,1,4268.540002,1
1GCZ1E,google / cpc,1,4263.949999,1
1F3N5C,google / cpc,1,4255.519998,1
18QWBD,google / cpc,1,4254.899998,1
18ENB0,google / cpc,1,4253.000002,1
1EM641,google / cpc,1,4248.319997,1
1EM68B,google / cpc,1,4248.319997,1
1EM71W,whatsapp / bot,1,4248.319997,1
199YTY,google / cpc,1,4246.98,1
1EJUFB,google / cpc,1,4239.920002,1
1H6AAR,google / cpc,1,4235.600002,1
1FD2D1,google / organic,1,4235.040001,1
(not set),linktr.ee / referral,19,4232.899997,6166
1JRBTF,(direct) / (none),1,4231.699999,1
1F75V2,google / organic,1,4229.340001,1
1BU7TZ,(direct) / (none),1,4224.919997,1
1F5N7V,google / organic,1,4222.960001,1
1EVJKF,google / cpc,1,4214.539999,1
1DZ97D,(direct) / (none),1,4213.050001,1
1DJPYC,(direct) / (none),1,4199.399997,1
1KP7EZ,google / cpc,2,4194.560004,1
1KNTJ6,google / cpc,1,4187.319999,1
1D1C69,google / organic,1,4186.900002,1
1BKJNU,google / organic,1,4184.479999,1
1F72CU,(direct) / (none),1,4171.620002,1
18M88T,google / cpc,1,4163.819998,1
1FKXN1,google / cpc,1,4153.849999,1
1KB916,(direct) / (none),1,4150.319998,1
1GX63W,google / cpc,1,4142.040002,1
19714H,google / cpc,1,4117.02,1
1972XJ,(direct) / (none),1,4117.02,1
1974ZK,(direct) / (none),1,4117.02,1
1AZ025,(direct) / (none),1,4091.999998,1
1B22PE,pushnews / pushnotification,1,4088.759998,1
1F8GSK,(direct) / (none),1,4076.960002,1
1GNJEK,bing / organic,1,4065.720002,1
1AEUJ8,whatsapp / bot,1,4062.840001,1
1FP5V5,pushnews / pushnotification,1,4048.259998,1
1FTR9X,google / cpc,1,4042.200001,1
1GWKXC,google / cpc,1,4035.959998,1
1GYX9M,google / organic,1,4031.15,1
1BRCAF,google / cpc,1,4029.149998,1
1H0Q8R,google / cpc,1,4024.929999,1
1H0SFU,(direct) / (none),1,4024.929999,1
1HWWVD,google / cpc,1,4021.250002,1
1FC4BC,google / organic,1,4009.549999,1
(not set),social / meta,218,4006.520001,129428
1D1E2A,google / organic,1,4004.300002,1
1AZCS3,(direct) / (none),1,3999.959999,1
(not set),guia.melhoresdestinos.com.br / referral,19,3995.280003,4670
1B8YQM,google / cpc,1,3987.12,1
1FCDF2,google / cpc,1,3987.060002,1
1FY1P8,google / cpc,1,3985.949997,1
1FYF9A,insider / apppush,1,3985.949997,1
1D3JZQ,google / cpc,1,3971.439998,1
1CZYDA,google / cpc,1,3965.88,1
1FQ0P0,google / cpc,1,3958.439999,1
1FN50V,google / cpc,1,3935.059999,1
1HM1UM,google / organic,1,3928.300001,1
1FD25W,google / cpc,1,3924.250001,1
1EN7NT,google / cpc,1,3920.24,1
1D5VJJ,google / organic,1,3915.950001,1
1EHCQY,google / cpc,1,3914.290003,1
1CS0MP,google / cpc,1,3914.15,1
1CS6W0,google / cpc,1,3914.15,1
1CSXK2,google / cpc,1,3914.15,1
1DFSQK,google / cpc,1,3914.149997,1
1DZF0F,google / cpc,1,3909.800001,1
19QYZF,google / cpc,1,3883.999998,1
194P73,(direct) / (none),1,3874.430001,1
1CFHCZ,google / cpc,1,3870.000002,1
1EBH1X,google / cpc,1,3866.22,1
1GEMHV,google / cpc,1,3858.360001,1
1HWHAZ,google / cpc,1,3856.670001,1
1B39XW,(direct) / (none),1,3849.89,1
1F6H34,(direct) / (none),1,3846.839997,1
1FDG9M,google / organic,1,3841.199998,1
1J1FAF,whatsapp / bot,1,3836.440001,1
1J9YFJ,google / cpc,1,3821.160003,1
1B0ZX2,google / cpc,1,3817.599998,1
1H750T,google / cpc,1,3803.920002,1
1H4AD3,whatsapp / bot,1,3799.050001,1
18VNHM,google / cpc,1,3798.860001,1
1G3YQG,(direct) / (none),1,3796.65,1
1DMFFC,google / cpc,1,3793.750002,1
1926RS,(direct) / (none),1,3792,1
1FN56V,(direct) / (none),1,3788.059998,1
1G0AA3,google / cpc,1,3786.220003,1
1F3N4H,google / cpc,1,3785.800003,1
1ENBVY,(direct) / (none),1,3774.429998,1
1GFPM1,google / organic,1,3771.990002,1
1FSJDK,google / cpc,1,3765.989998,1
1FSFNU,google / cpc,1,3763.86,1
1DYN29,google / cpc,1,3758.399997,1
1DXNSF,google / cpc,1,3758.309999,1
1G7KX2,(direct) / (none),1,3751.719998,1
1G7KPN,(direct) / (none),1,3751.719997,1
1AU4KF,(direct) / (none),1,3749.949999,1
1FHN64,(direct) / (none),1,3749.949998,1
1BPTJ5,app.tallos.com.br / referral,1,3749.060001,1
1DYMZ4,google / cpc,1,3745.979998,1
1BJNP0,(direct) / (none),1,3745.399998,1
1GPM6X,google / cpc,1,3740.789998,1
1GBGFP,google / cpc,1,3737.52,1
1GZ99P,google / cpc,1,3729.699998,1
1CNBQF,google / organic,1,3728.250002,1
1B7MQC,pushnews / pushnotification,1,3724.719999,1
18KUT3,whatsapp / bot,1,3721.700002,1
18KWF4,whatsapp / bot,1,3721.700002,1
18KWNY,whatsapp / bot,1,3721.700002,1
1FEWTV,(direct) / (none),1,3721.539999,1
1J7BC2,google / cpc,1,3717.18,1
1EFHKR,google / cpc,1,3715.170002,1
1FX5NP,google / cpc,1,3700.08,1
1EJHS3,google / cpc,1,3699.349998,1
1FGJXX,google / cpc,1,3693.280001,1
1CRQGT,google / cpc,1,3692.900002,1
1F9Z44,google / cpc,1,3691.080002,1
19WMQ5,(direct) / (none),1,3684.89,1
19WSV5,(direct) / (none),1,3684.89,1
1AYK9V,google / cpc,1,3667.520002,1
1ATFBY,google / cpc,1,3665.630001,1
1B5YEV,google / cpc,1,3657.7,1
1B8NGS,google / cpc,1,3656.279998,1
1FDF1C,google / cpc,1,3653.530001,1
195H33,google / cpc,1,3653.079998,1
1DTG57,(direct) / (none),1,3649.950001,1
1FX3XW,whatsapp / bot,1,3649.180001,1
1E8PKR,google / organic,1,3637.280001,1
1BSWGR,google / cpc,1,3637.279999,1
1CMM9C,(direct) / (none),1,3635.88,1
1CMRAW,(direct) / (none),1,3635.88,1
1J737M,google / cpc,1,3635.090002,1
1J7C2B,google / cpc,1,3633.200001,1
1FG13F,google / cpc,1,3628.410001,1
1BD4U2,google / cpc,1,3624.080002,1
1ARSRF,whatsapp / bot,1,3617.720003,1
1E1K1K,(direct) / (none),1,3616.619999,1
1A03F9,google / organic,1,3614.199999,1
1FWK6U,google / cpc,1,3606.780002,1
1BMUFZ,google / cpc,1,3604.600003,1
1EVV32,google / organic,1,3602.400002,1
1EWSD2,google / cpc,1,3602.400002,1
1EWSXZ,google / cpc,1,3602.400002,1
1D75G7,google / cpc,1,3600.420002,1
1F1Z57,google / cpc,1,3600,1
1BMQ23,(direct) / (none),1,3599.960001,1
1HWJ6Q,(direct) / (none),1,3597.509999,1
1KJN02,google / cpc,1,3590.640001,1
1FU01G,(direct) / (none),1,3583.279998,1
1GAH3M,google / cpc,1,3576.12,1
1D8V7W,google / cpc,1,3572.659999,1
1FKP2X,(direct) / (none),1,3570.179997,1
1D6SCJ,(direct) / (none),1,3567.92,1
1DH296,google / cpc,1,3565.960001,1
1JBZRC,google / cpc,1,3555.699999,1
1J5HRC,google / organic,1,3550.74,1
1BMESP,google / organic,1,3549.439998,1
1EMTCJ,whatsapp / bot,1,3548.100001,1
1DVA1Q,google / cpc,1,3545.76,1
1BQ5MZ,(data not available),1,3544.92,1
1FNYZ4,google / cpc,1,3544.760001,1
(not set),youtube.com / referral,17,3542.799999,11396
1AQ3QU,google / cpc,1,3540.840001,1
1C9VDS,google / cpc,1,3536.999998,1
1EBVA4,insider / architect_email,1,3533.76,1
19J8T6,google / cpc,1,3529.369997,1
1GFP64,google / cpc,1,3529.149998,1
1GFRJ0,app.tallos.com.br / referral,1,3529.149998,1
1GFU0P,(direct) / (none),1,3529.149998,1
1EEQAY,google / organic,1,3528.680002,1
1J0A00,insider / insite,1,3527.94,1
1G22YR,google / cpc,1,3527.799997,1
196QXH,(not set),1,3527.439999,1
196R9T,(direct) / (none),1,3527.439999,1
1DZ92B,whatsapp / bot,1,3523.469998,1
1BE0RB,google / cpc,1,3521.400002,1
1JR46A,google / cpc,1,3520.390002,1
1H8T18,google / cpc,1,3519.840002,1
1F508D,google / cpc,1,3516.600001,1
1BA8XA,google / cpc,1,3514.949998,1
1FW6FJ,google / organic,1,3511.719997,1
1FW7WJ,google / organic,1,3511.719997,1
(not set),facebook / cpc,37,3510.429998,126673
1AXDEN,google / cpc,1,3506.399999,1
1E4KKQ,(direct) / (none),1,3505.32,1
1FQZMR,google / cpc,1,3502.049999,1
1G1EQE,(direct) / (none),1,3498.040002,1
1B0925,google / cpc,1,3497.2,1
1FBG21,google / organic,1,3496.619998,1
1DC02Y,google / cpc,1,3495.850001,1
1B8AGU,google / cpc,1,3495.630001,1
1G69A1,google / cpc,1,3494.500001,1
1CUAYM,whatsapp / bot,1,3492.089999,1
1FME24,google / cpc,1,3490.319998,1
1C5EJJ,google / cpc,1,3489.359998,1
1CS0XN,google / cpc,1,3488.550003,1
1F40GT,google / cpc,1,3486.559999,1
190AR2,google / cpc,1,3484.83,1
19VDU5,google / cpc,1,3482.960002,1
1A18UB,google / cpc,1,3480.570002,1
1GKPFG,google / cpc,1,3473.559999,1
1HVSQE,google / organic,1,3470.640001,1
1K9BJR,google / cpc,1,3469.000001,1
1H7PRZ,whatsapp / bot,1,3468.879998,1
1F1XKU,google / cpc,1,3468.869997,1
1G8NHH,google / cpc,1,3466.640002,1
1FS26P,(direct) / (none),1,3464.760001,1
1DWADT,(direct) / (none),1,3463.760001,1
1D542S,google / organic,1,3458.949998,1
1D54SM,(direct) / (none),1,3458.949998,1
1D55E6,(direct) / (none),1,3458.949998,1
1HMGYM,google / cpc,1,3458.370001,1
19RP5W,whatsapp / bot,1,3453.84,1
19RR0C,whatsapp / bot,1,3453.84,1
1GS1S7,google / cpc,1,3449.76,1
1GMKD7,(direct) / (none),1,3443.64,1
1BBW8R,google / cpc,1,3436.440001,1
1HRH22,google / cpc,1,3436.07,1
1AXWRC,google / cpc,1,3434.800001,1
18MYA1,(direct) / (none),1,3433.050001,1
18N2DX,(direct) / (none),1,3433.050001,1
18N2X9,(direct) / (none),1,3433.050001,1
1HWJMP,whatsapp / bot,1,3432.3,1
1DYCCQ,google / cpc,1,3430.679999,1
1D55MC,google / cpc,1,3429.499999,1
1CB7WD,google / cpc,1,3425.390002,1
1CH808,google / cpc,1,3425.049999,1
1E9YUD,google / cpc,1,3423.039998,1
1DGRFA,whatsapp / bot,1,3421.17,1
1HAHAJ,google / cpc,1,3418.589998,1
1CH08R,google / organic,1,3407.829998,1
18VE46,google / cpc,1,3404.400001,1
1GZX3V,bing / organic,1,3404.399999,1
1D2ZW8,google / cpc,1,3395.88,1
1DRZ3Z,google / organic,1,3390.959998,1
1E4TTV,(direct) / (none),1,3384.780001,1
1DSTA4,google / cpc,1,3376.320001,1
1D862F,bing / organic,1,3375.549999,1
1ABETA,pushnews / pushnotification,1,3374.94,1
1H0AK5,whatsapp / bot,1,3374.679999,1
(not set),(data not available),344,3371.209996,196905
1DP0H1,google / cpc,1,3367.739998,1
1ERYM5,google / cpc,1,3367.079999,1
1DSUNC,google / cpc,1,3365.849998,1
1D64XU,(direct) / (none),1,3365.359999,1
1DJ52R,google / cpc,1,3363.520002,1
1JCAUZ,insider / insite,1,3361.32,1
1DYPGS,(direct) / (none),1,3354.810001,1
1EHRNJ,google / cpc,1,3353.929999,1
1F1XPD,insider / email,1,3352.440002,1
1DYK87,google / cpc,1,3351.719998,1
1FY0GK,google / cpc,1,3351.24,1
1BBKYT,google / cpc,1,3350,1
1BBYCS,google / cpc,1,3348.679999,1
1ER7BY,google / cpc,1,3348.58,1
1H80GU,google / organic,1,3347.880002,1
1FGX4Q,google / cpc,1,3346.139999,1
1C0GU2,(data not available),1,3345.480001,1
1ER64J,google / organic,1,3344.799998,1
18UDH5,(direct) / (none),1,3343.599998,1
1F9QS7,google / cpc,1,3342.870002,1
1E69HV,google / organic,1,3337.820001,1
1AW81C,google / cpc,1,3336.920002,1
1FJG2G,whatsapp / bot,1,3332.699998,1
1C7845,social / meta,1,3330.350001,1
(not set),l.facebook.com / referral,9,3329.359997,2318
1DW5VQ,google / cpc,1,3329.340001,1
1D6WK0,google / cpc,1,3329.100002,1
1D39T8,(direct) / (none),1,3327.840003,1
1GVBVY,google / cpc,1,3327.800002,1
1ERZWZ,google / cpc,1,3317.819997,1
1FJ9WY,whatsapp / bot,1,3315.08,1
194NHX,google / cpc,1,3313.360002,1
1BZBTH,google / cpc,1,3313.200003,1
1EPBPX,(direct) / (none),1,3306.980001,1
1F5QMF,google / cpc,1,3306.840001,1
1FC1DV,google / organic,1,3302.000001,1
1KFG1U,google / cpc,1,3298.16,1
1J2QPF,(direct) / (none),1,3296.93,1
1FGR83,(direct) / (none),1,3296.039999,1
1FXMCM,l.wl.co / referral,1,3292.499999,1
1F5R9T,google / organic,1,3291.900001,1
1ERZE2,google / cpc,1,3290.880002,1
1FE712,google / cpc,1,3288.000001,1
1FE93T,google / cpc,1,3288.000001,1
1ERRJM,(direct) / (none),1,3286.779999,1
1F9ADS,google / organic,1,3283.960001,1
1EP6R5,google / organic,1,3282.530002,1
1CWZCA,google / cpc,1,3280.119998,1
1D5Q5R,google / cpc,1,3279.879998,1
1FY91Y,google / cpc,1,3277.720001,1
1DGCMX,google / cpc,1,3273.299998,1
1F9DFP,whatsapp / bot,1,3272.26,1
1BN5QX,google / cpc,1,3270.599997,1
18KXKP,whatsapp / bot,1,3270.149998,1
1906DH,(direct) / (none),1,3268.719998,1
1FHS31,whatsapp / bot,1,3267.929999,1
(not set),titan.hostgator.com.br / referral,2,3261.880003,11
1BDRA7,google / cpc,1,3259.860001,1
1C6ZEK,(direct) / (none),1,3258.250002,1
1JZTHT,whatsapp / bot,1,3258.060002,1
195JZ9,(direct) / (none),1,3255.4,1
1B2SYK,google / cpc,1,3254.340002,1
1HNGUF,(not set),1,3254.1,1
1GR1TR,google / cpc,1,3252.450002,1
1BTV99,(direct) / (none),1,3248.800002,1
18F09T,google / organic,1,3244.68,1
1H4ZDB,google / cpc,1,3240.399998,1
1F7W4N,google / organic,1,3234.52,1
1D3524,(direct) / (none),1,3233.800002,1
1F9FN3,google / cpc,1,3231.56,1
19RVF5,google / cpc,1,3228.840002,1
1FHKRT,google / cpc,1,3227.100001,1
1BD43S,(direct) / (none),1,3223.240003,1
1F2T25,google / cpc,1,3223.180001,1
1K6ETV,google / cpc,1,3222.519999,1
1EHS35,google / cpc,1,3220.960002,1
1J0499,google / cpc,1,3217.840001,1
1F658Q,google / cpc,1,3217.109999,1
1F66AK,google / cpc,1,3217.109999,1
1F66VQ,(direct) / (none),1,3217.109999,1
1EM8TA,whatsapp / bot,1,3212.8,1
1EM2S0,(direct) / (none),1,3212.799998,1
1BDS7H,google / cpc,1,3212.100001,1
1JKQAF,google / cpc,1,3206.549999,1
18KU2K,(direct) / (none),1,3203.909998,1
1AUKTG,google / cpc,1,3202.599999,1
1FD25K,whatsapp / bot,1,3201.380001,1
1BQ92W,google / cpc,1,3200.24,1
1F2CCG,(direct) / (none),1,3199.540002,1
1F2TFP,(direct) / (none),1,3199.540002,1
1C3UQY,google / cpc,1,3199.099999,1
1BHF3Z,google / organic,1,3199.099998,1
1FS6XN,google / cpc,1,3198.009997,1
1F6JZN,(direct) / (none),1,3196.44,1
1F3GWG,(direct) / (none),1,3194.560002,1
1CPH09,(direct) / (none),1,3191.880001,1
1DKAWD,google / cpc,1,3190.050003,1
1BC4AC,google / cpc,1,3185.560002,1
1FB693,google / cpc,1,3183.500001,1
1FB729,google / cpc,1,3183.500001,1
1FX9H1,br.search.yahoo.com / referral,1,3180.189999,1
19CZHA,google / cpc,1,3178.749999,1
1A42S2,google / organic,1,3177.52,1
1BRAPE,google / cpc,1,3175.35,1
1GAP61,(direct) / (none),1,3168.000001,1
1HBK7E,(direct) / (none),1,3162.800001,1
1FD194,google / cpc,1,3162.119999,1
1D89U6,google / organic,1,3159.920001,1
196A89,google / organic,1,3158.039999,1
19CM70,(direct) / (none),1,3156.93,1
1BR9R3,(direct) / (none),1,3153.279998,1
1GF663,(direct) / (none),1,3149.880002,1
1FGS4W,bing / organic,1,3145.530002,1
1G5BXV,google / cpc,1,3143.889997,1
1BDQE7,google / cpc,1,3141.1,1
1FJ94A,google / cpc,1,3140.119998,1
1FD2ZC,google / cpc,1,3139.400002,1
1G7H1K,google / cpc,1,3139.220001,1
1J1ABN,google / cpc,1,3139.02,1
1HRW1U,google / cpc,1,3138.420001,1
1B5MHZ,(direct) / (none),1,3137.899999,1
1HXCV9,google / organic,1,3136.679999,1
1JP79C,google / cpc,1,3136.499999,1
18QYSB,google / cpc,1,3135.800002,1
1AW96D,whatsapp / bot,1,3134.000001,1
1JRCS7,insider / insite,1,3133.500002,1
18HRG8,google / cpc,1,3132.179999,1
1DZXMX,ntp.msn.com / referral,1,3131.319998,1
1DF6GN,google / cpc,1,3130.260001,1
1DFP56,google / cpc,1,3130.260001,1
1EQ8AY,google / cpc,1,3124.800002,1
1EQNNG,google / cpc,1,3124.8,1
1FESCP,google / cpc,1,3124.439998,1
1BU3CT,google / cpc,1,3124.340001,1
1D50E1,insider / architect_web_push,1,3124.199999,1
1FD5RN,insider / apppush,1,3121.919999,1
1FD7VT,insider / apppush,1,3121.919999,1
1BN10N,pushnews / pushnotification,1,3120.929999,1
1GEWXR,google / cpc,1,3120,1
1FYPXM,google / organic,1,3119.080003,1
19DHYG,google / cpc,1,3117.960001,1
1BP27H,google / organic,1,3116.88,1
1G2TZ2,google / cpc,1,3116.35,1
1CC1XG,google / cpc,1,3114.800002,1
1FCQ05,(direct) / (none),1,3111.880002,1
1BM4N1,google / cpc,1,3109,1
1BVA50,google / cpc,1,3107.879998,1
1BF0VG,bing / organic,1,3106.940001,1
1GX048,(direct) / (none),1,3105.000001,1
1DKAGF,google / cpc,1,3101.479998,1
1FN5XA,whatsapp / bot,1,3100.740001,1
1B2PU5,(direct) / (none),1,3097.920002,1
1BESRX,google / cpc,1,3094.949998,1
1F6ETQ,google / cpc,1,3093.94,1
1A3ZXD,google / organic,1,3092.520001,1
1J3A3M,google / cpc,1,3090.380001,1
1JN2T2,(direct) / (none),1,3089.7,1
1970HH,pushnews / pushnotification,1,3089.659997,1
1G7G4V,google / cpc,1,3086.88,1
1GRJ3Q,google / cpc,1,3082.500001,1
1EUE87,app.tallos.com.br / referral,1,3076.430002,1
1KFFT5,google / cpc,1,3072.359999,1
1FAZTD,google / cpc,1,3069.179998,1
1AQBVZ,google / cpc,1,3068.91,1
1HP1VD,insider / architect_email,1,3067.86,1
1H7X5Z,google / cpc,1,3067.399999,1
1D809A,google / cpc,1,3063.959998,1
1F64RF,(direct) / (none),1,3063.959998,1
1FGTQG,google / cpc,1,3062.199998,1
1EVUB9,google / organic,1,3058.93,1
1JS3J3,google / organic,1,3058.520001,1
1CZVKC,google / cpc,1,3057.809999,1
1FDFH8,google / organic,1,3057.700002,1
1DP13Y,whatsapp / bot,1,3057.549998,1
1BCSAQ,(direct) / (none),1,3057.42,1
1J3WU3,google / cpc,1,3056.639998,1
1BB3ZZ,google / cpc,1,3056.199999,1
1FH9KP,(direct) / (none),1,3055.949999,1
1B70U7,(direct) / (none),1,3055.439999,1
1CYHHT,google / cpc,1,3055.439997,1
1EV1DT,google / cpc,1,3050.949999,1
1GXRJ8,google / cpc,1,3039.560001,1
1A4G79,google / cpc,1,3036.840002,1
1G3M4N,google / cpc,1,3036.020002,1
1G3MED,google / cpc,1,3036.020002,1
1F8DUW,google / organic,1,3035.620001,1
1CEESN,(direct) / (none),1,3035.580001,1
1HFZYS,google / organic,1,3035.120002,1
1D1Q8N,google / cpc,1,3028.119999,1
1ED42U,pushnews / pushnotification,1,3028.000002,1
