Top consultas,Cliques,Impressões,CTR,Posição
guanabara picos,263,3747,7.02%,1.98
guanabara útil,263,2148,12.24%,1.08
util.com.br,263,1389,18.93%,1
viação guanabara telefone,258,7185,3.59%,3.09
realexpresso,255,4603,5.54%,4.23
guanab,255,2244,11.36%,2.31
guanabata,253,5379,4.7%,2.04
passagem de ônibus,251,23374,1.07%,13.6
sac guanabara,246,7157,3.44%,4.97
guanabara viaje,240,2004,11.98%,1.06
guanabara cajazeiras,239,6537,3.66%,2.02
guanabara util passagens,237,2147,11.04%,1.03
passagens guanabara fortaleza,232,2888,8.03%,1.04
util onibus passagem,230,1647,13.96%,4.67
compra passagem guanabara,229,3380,6.78%,1.06
gianabara,226,4387,5.15%,2.15
passagens util,226,3746,6.03%,3.47
guanabara itapipoca,220,3979,5.53%,1.99
rápido federal,218,11774,1.85%,6.57
guanabara bacabal,217,6053,3.58%,2.91
guanabara sousa,216,1653,13.07%,3.06
site da empresa guanabara,216,1221,17.69%,1.56
guanambara,208,2879,7.22%,1.14
cancelar passagem guanabara,206,3563,5.78%,3.52
trocar passagem guanabara,205,2418,8.48%,3.25
viacao sampaio,203,8636,2.35%,7.11
guanabara sousa pb,202,1303,15.5%,2.76
guanabara pombal,199,1287,15.46%,2.6
guanabara patos,196,8751,2.24%,4.17
real guanabara,196,2072,9.46%,1.52
guanabara remarcar passagem,196,1487,13.18%,2.64
guanabara leito,195,7322,2.66%,3.91
guanabara são paulo,193,3512,5.5%,1.94
passagem guanabara joao pessoa,192,1123,17.1%,1.64
guanabara fortaleza recife,191,2307,8.28%,1.36
empresa guanabara de ônibus,190,3129,6.07%,1.79
passagem de ônibus para fortaleza guanabara,189,2409,7.85%,2.55
guanabara maceió,188,3831,4.91%,2.08
guabara,188,3728,5.04%,1.79
guamabara,185,3578,5.17%,2.01
expreso guanabara,181,690,26.23%,1.13
viajeguanabara.com.br,178,2229,7.99%,1.03
útil passagem,177,3795,4.66%,3.74
guababara,177,3494,5.07%,1.98
guanabara juiz de fora,177,3098,5.71%,1.53
quanabara,175,4661,3.75%,2.17
site guanabara ônibus,174,1997,8.71%,1.19
viagem guanabara.com.br,173,2977,5.81%,1
guanabara teresina fortaleza,173,2565,6.74%,2.01
viaje guanabara passagem,170,1716,9.91%,1.06
expresso guanabara site oficial,169,1139,14.84%,1.02
viação expresso guanabara,168,2261,7.43%,1.52
viajeguanabara.com.br guanabara,166,3654,4.54%,1.01
guanabara real expresso uberlandia,164,2142,7.66%,2.12
guanabara natal,162,12790,1.27%,5.4
guanabara contato,159,3121,5.09%,3.44
viaçao util,159,2795,5.69%,3.64
passagem para fortaleza guanabara,159,2365,6.72%,1.88
passagem guanabara sao luis,159,1379,11.53%,1.11
passagem guanabara online,156,2433,6.41%,1.04
passagem do guanabara,154,4433,3.47%,1.1
guanara,153,7093,2.16%,1.87
viaje guanabara oficial,153,1523,10.05%,1
útil passagens,152,2912,5.22%,3.71
viaçao guanabara passagem,152,1550,9.81%,1.03
expresso guanabra,152,1163,13.07%,1.05
whatsapp expresso guanabara telefone,150,15477,0.97%,7.5
guanabara fortaleza telefone,150,4849,3.09%,3.5
guanabara rio de janeiro,149,5309,2.81%,6.07
transporte guanabara,148,10431,1.42%,6.33
guanarabara,148,2437,6.07%,1.51
passagem guanabara onibus,148,2319,6.38%,1.43
guanabara timon,146,2693,5.42%,3.92
passagem no guanabara,146,2172,6.72%,1.6
guanabara compra online,145,1212,11.96%,5.65
passagem onibus,143,19326,0.74%,12.51
site da guanabara para comprar passagem,142,1415,10.04%,1
guanabara passagens tabela de preços 2025,141,1633,8.63%,1.91
espresso guanabara,141,1207,11.68%,1.11
passagem real expresso,140,4727,2.96%,5.72
guanabara ribeirão preto,140,1694,8.26%,4.37
viação guanabara comprar passagem,140,1601,8.74%,1.01
empresa de onibus guanabara,138,1890,7.3%,2.28
empresa guanabara ônibus,138,1842,7.49%,1.86
guanabara brisa,138,1381,9.99%,1.02
passagem na guanabara,137,2452,5.59%,1.33
util viacao,137,2023,6.77%,3.22
www.viajeguanabara.com.br,137,1471,9.31%,1
viação guanabara fortaleza,137,1249,10.97%,1.8
guiche guanabara,136,3251,4.18%,2.07
venda de passagem guanabara,136,1441,9.44%,1.73
guanabara trocar passagem,136,1434,9.48%,3.07
expresso.guanabara,134,1214,11.04%,1.07
ônibus da guanabara,133,5976,2.23%,3.12
passagem ônibus guanabara,131,1838,7.13%,1.14
guanabara recife fortaleza,130,1915,6.79%,1.54
guanabara real expresso onibus,130,1327,9.8%,1.34
www guanabara,130,1021,12.73%,1.29
passagem guanabara comprar,129,1309,9.85%,1.05
guanabara expresso passagem,129,1247,10.34%,1.17
passagem.guanabara,127,2156,5.89%,1.42
telefone guanabara fortaleza,126,6683,1.89%,3.61
agência guanabara,126,3531,3.57%,2.5
guarabara,126,2736,4.61%,1.77
gaunabara,126,1724,7.31%,1.77
guanabara.com.br,126,1477,8.53%,1.44
comprar passagens guanabara,126,1433,8.79%,1.11
rapido federal passagens,125,4963,2.52%,7.14
guarnabara,123,2348,5.24%,1.58
express guanabara,123,1006,12.23%,1.08
passagem de ônibus para juazeiro do norte guanabara,122,1824,6.69%,2.99
onibus util guanabara,120,1503,7.98%,1.8
viaje guanabara passagens,120,1137,10.55%,1.49
guanabara barreiras,119,4981,2.39%,5.43
guanabara joão pessoa telefone,119,2536,4.69%,3.54
guanabara fortaleza natal,119,1972,6.03%,2.16
util ônibus,118,3492,3.38%,4.93
passagem guanabara teresina,118,1590,7.42%,1.13
comprar passagem de ônibus guanabara,118,1560,7.56%,1.05
guanabara sobral fortaleza,116,1590,7.3%,2.31
empresa guanabara passagem,116,1490,7.79%,1.77
comprar passagem na guanabara,116,1360,8.53%,1.09
guanabara uberlândia,115,2256,5.1%,2.47
guabanara,115,2042,5.63%,2.05
guanabara rápido federal,114,1301,8.76%,1.56
expresso guanabara fortaleza,113,1804,6.26%,1.93
empresa guanabara passagens,113,1290,8.76%,1.76
guanabarra,112,2929,3.82%,2.59
expresso guanabara recife,112,1900,5.89%,2.38
viageguanabara,112,1438,7.79%,1
guanabara aracati,111,1364,8.14%,3.15
viajem guanabara,111,1284,8.64%,1.01
guanabara teresina telefone,110,5524,1.99%,4.6
guanabara compra de passagem,110,1134,9.7%,1.02
guanabara camocim,109,3099,3.52%,2.55
guanabara tiangua,108,3044,3.55%,2.63
guanabara imperatriz,108,2959,3.65%,2.55
rastrear ônibus guanabara,108,2220,4.86%,4.43
real expresso onibus,107,4366,2.45%,6.41
viação util site oficial,107,1922,5.57%,2.71
guanabara encomendas,106,2594,4.09%,6.52
guanabara chapadinha,106,2284,4.64%,2.34
guanabara jericoacoara,105,2078,5.05%,2.11
real espresso,105,1156,9.08%,4.86
guanabara parnaíba,104,2609,3.99%,2.74
guanabars,104,1796,5.79%,2.01
viacaoguanabara,104,1187,8.76%,1
passagem de onibus guanabara preço,103,1568,6.57%,2.21
rapido federal passagem,102,4781,2.13%,8.04
consórcio guanabara,102,1432,7.12%,2.03
viagem guanabara passagem,102,1309,7.79%,1
viação util passagem,101,2409,4.19%,6.46
passagem de ônibus da guanabara,101,1307,7.73%,1.8
viaje util,101,1154,8.75%,1.2
passagem útil guanabara,101,1141,8.85%,1.18
guanabara online,100,10784,0.93%,6.52
guanabara ônibus telefone,100,3501,2.86%,3.41
guanabara onibus leito,100,1523,6.57%,3.44
passagens onibus guanabara,100,1432,6.98%,1.03
guanabara passagem fortaleza,100,638,15.67%,1.17
número da guanabara,99,5321,1.86%,4.59
guanabara cancelar passagem,99,1743,5.68%,3.47
site da viação guanabara,99,816,12.13%,1.01
passagem guanabara site oficial,98,933,10.5%,1
baixar aplicativo guanabara,98,753,13.01%,5.41
onibus guanabara util,97,2048,4.74%,2.33
localizar passagem guanabara,97,821,11.81%,2.31
www.expressoguanabara.com.br,97,812,11.95%,1
viação guanabara goiania,96,1677,5.72%,3.08
guanabara login,96,960,10%,2.06
guanabara piripiri,95,3383,2.81%,2.86
guananbara,95,1155,8.23%,1.45
https://viajeguanabara.com.br/,95,1032,9.21%,1
guanabara passagem idoso,95,1022,9.3%,3.7
empresa util,94,3299,2.85%,5.57
site guanabara util,94,809,11.62%,1
www.util.com.br,94,556,16.91%,1
expressoguanabara.com.br,94,488,19.26%,1
guanabara patos pb,93,4369,2.13%,4.89
contato guanabara,93,3224,2.88%,3.75
site da guanabara ônibus,92,1235,7.45%,1.02
viaje guanabra,92,838,10.98%,1
passagem juiz de fora rio de janeiro guanabara,92,806,11.41%,1.31
gratuidade guanabara,91,763,11.93%,3.68
telefone da empresa guanabara,90,6353,1.42%,4.59
guanabara feira de santana,90,2286,3.94%,1.34
util guanabara onibus,90,1149,7.83%,1.28
site viação guanabara,90,808,11.14%,1
imprimir passagem guanabara,90,775,11.61%,2.39
site expresso guanabara,90,750,12%,1.02
bus guanabara,90,431,20.88%,1.8
telefone da guanabara,89,6933,1.28%,4.7
onibus util,89,3976,2.24%,6
passagem expresso guanabara,89,2063,4.31%,1.39
passagem fortaleza natal guanabara,89,1541,5.78%,4.02
guanabara campina grande telefone,89,1093,8.14%,2.89
passagem guanabara sobral,89,506,17.59%,1.1
expresso guanabara telefone,88,3646,2.41%,3.6
guanabara aracaju,88,1859,4.73%,6.39
guanabara fortaleza mossoro,88,1395,6.31%,2.99
viagem guanabara .com.br,88,1299,6.77%,1.01
passagem fortaleza recife guanabara,88,864,10.19%,1.99
guanabara passagem id jovem,88,736,11.96%,3.88
guanabara limoeiro do norte,87,1402,6.21%,2.62
guanabara viação passagem,87,1215,7.16%,1.01
site util guanabara,87,576,15.1%,1.04
id jovem guanabara,86,6526,1.32%,6.62
onibus guanabara leito,86,4823,1.78%,5.64
site util,86,1723,4.99%,1.34
passagem de ônibus de fortaleza para recife guanabara,86,1196,7.19%,3.22
guanábara,85,919,9.25%,3.08
passagem para guaramiranga guanabara,85,487,17.45%,1.88
guanabara horario,84,10249,0.82%,6.83
passagens de ônibus para teresina guanabara,84,1831,4.59%,3.14
guichê guanabara,84,1626,5.17%,2.09
passagens de guanabara,84,1372,6.12%,1.11
guanabara: passagens tabela de preços,84,1159,7.25%,1.7
site guanabara passagem,84,1150,7.3%,1.04
passagem de guanabara para fortaleza,84,961,8.74%,1.91
passagem de ônibus de recife para são paulo guanabara,84,894,9.4%,1.61
guanabara russas,83,1617,5.13%,2.95
gusnabara,82,1904,4.31%,2.31
passagem de ônibus para brasília guanabara,82,1225,6.69%,2.57
consultar passagem guanabara,82,611,13.42%,2.18
localizador passagem guanabara,81,1701,4.76%,2.78
passagem guanabara recife fortaleza,81,681,11.89%,1.45
passagens da guanabara,80,1261,6.34%,1.04
expresso gunabara,80,534,14.98%,1.03
ônibus,79,57888,0.14%,10.33
site real expresso,79,1199,6.59%,2.83
guanabara empresa,79,933,8.47%,3.24
site do guanabara para comprar passagem,78,839,9.3%,1
viação guanabara ônibus,77,1174,6.56%,1.74
real.expresso,76,2099,3.62%,4.78
telefone viação guanabara,76,1684,4.51%,3.08
guaranabara,76,1539,4.94%,1.85
guanabara util telefone,75,2875,2.61%,2.71
guanabara fortaleza sobral,75,1269,5.91%,2.32
guanabara.com,75,575,13.04%,1.29
viacao guanabara util,74,550,13.45%,1.06
viacao util guanabara,74,447,16.55%,1.24
guanabara campo maior,73,974,7.49%,3.54
telefone da viação guanabara,72,2777,2.59%,3.28
util passagem de ônibus,72,2094,3.44%,5.5
expresso guanabara joão pessoa,72,1145,6.29%,2.74
passagem fortaleza guanabara,72,723,9.96%,1.1
site da util,71,1258,5.64%,2.37
viaje guanabara util,71,425,16.71%,1
www.guanabara.com.br,70,1071,6.54%,1.51
site oficial guanabara onibus,70,631,11.09%,1.27
viação util passagens,69,3155,2.19%,6.59
passagem de ônibus de fortaleza para são paulo guanabara,69,1452,4.75%,3.16
passagem de ônibus para são paulo guanabara,69,990,6.97%,1.63
remarcar passagem guanabara online,69,763,9.04%,2.9
expresso guanabar,69,477,14.47%,1.08
útil,68,14134,0.48%,9.62
guanabara caruaru,68,1747,3.89%,2.29
comprar passagem util,68,1099,6.19%,3.94
passagem viação guanabara,68,789,8.62%,1.07
guanabara viaçao,68,500,13.6%,1.09
exp guanab,68,73,93.15%,1
horario guanabara,67,6963,0.96%,7.19
real expresso.com.br,67,424,15.8%,1.97
leito guanabara,66,11284,0.58%,6.15
guanabaea,66,1502,4.39%,1.99
passagem online guanabara,66,1142,5.78%,1.84
passagem de ônibus salvador recife guanabara,66,1105,5.97%,3.71
passagens guanabara valor,66,1102,5.99%,1.99
viagem de guanabara,66,1084,6.09%,1.01
guanabara salvador recife,66,938,7.04%,1.58
guanabara transporte rodoviário,66,897,7.36%,1.86
passagem util guanabara,66,605,10.91%,1.06
guanabara guaramiranga,66,416,15.87%,1.77
fuanabara,65,1731,3.76%,2.15
passagem de ônibus para recife guanabara,65,837,7.77%,2.17
guanabará,65,637,10.2%,1.64
guanabara real expresso brasilia,65,619,10.5%,1.96
realexpresso.com.br,65,325,20%,1.29
guanabaa,64,1275,5.02%,1.84
guananara,64,1259,5.08%,2.03
grupo guanabara ônibus,64,1185,5.4%,3.75
guanabara passagens de onibus,64,576,11.11%,1.58
guanabara passagem gratuita,64,496,12.9%,3.67
ônibus guanabara horários,63,1936,3.25%,3.81
passagem de ônibus recife salvador guanabara,63,1468,4.29%,4.95
guanabara passagens tabela de preços 2024,63,885,7.12%,2.84
comprar passagem no guanabara,63,675,9.33%,1.02
telefone guanabara 0800,62,6418,0.97%,5.93
guanabara mossoro,62,1273,4.87%,2.21
guanabara passagens tabela de preços para fortaleza,62,882,7.03%,2.01
passagem de ônibus de brasília para são paulo guanabara,62,838,7.4%,2.08
passagem para joão pessoa ônibus guanabara,62,757,8.19%,2.68
viação guanabara sampaio,62,657,9.44%,1.62
onibus,61,33563,0.18%,12.13
passagem,61,17725,0.34%,14.52
huanabara,61,1169,5.22%,2.09
gauanabara,61,940,6.49%,2.16
passagem útil,60,1716,3.5%,3.79
guanabara uberaba,60,924,6.49%,3.18
via guanabara,60,804,7.46%,1.19
guanabara sampaio onibus,60,746,8.04%,1.73
expresso real guanabara,60,598,10.03%,1.63
alterar passagem guanabara,60,479,12.53%,3.09
passagens de ônibus,59,8346,0.71%,16.91
viacao util onibus,59,2066,2.86%,7.42
localizador de passagem guanabara,59,915,6.45%,2.56
passagem guanabara util,59,644,9.16%,1.05
viacao guanabara cancelar passagem,59,367,16.08%,2.75
guanabara sao luis ma,58,1832,3.17%,3.13
guanabara fortaleza teresina,58,1082,5.36%,2.15
guanaara,58,909,6.38%,1.87
passagens para sobral guanabara,58,790,7.34%,2.43
como comprar passagem no guanabara,58,642,9.03%,1.76
viação guanabara real expresso,58,470,12.34%,1.71
passagens viação guanabara,58,356,16.29%,1.06
guanabara leito cama,57,2357,2.42%,6.2
guanabara mossoró fortaleza,57,840,6.79%,4.38
rápido federal guanabara,57,821,6.94%,1.55
guanabara passagem de onibus,57,567,10.05%,1.12
www.realexpresso.com.br,57,332,17.17%,1.35
site oficial da empresa guanabara,57,228,25%,1.16
viagemguanabara,56,921,6.08%,1
guanabara recife salvador,56,878,6.38%,1.48
util passagem onibus,56,842,6.65%,5.9
guanabara venda de passagens,56,819,6.84%,1.2
aviação guanabara,56,806,6.95%,1.05
guanabara belo horizonte,56,783,7.15%,6.32
passagens guanabara joao pessoa,56,662,8.46%,1.29
guanabara brasília,55,1092,5.04%,1.98
passagem de joão pessoa para fortaleza guanabara,55,574,9.58%,3.26
guanabara executivo,54,2861,1.89%,3.51
guanabara crato,54,2609,2.07%,3.81
site oficial do guanabara,54,1465,3.69%,2.2
guanabara rodoviaria,54,1085,4.98%,2.23
expresso guanabara teresina,54,1027,5.26%,2.03
passagem guanabara para fortaleza,54,917,5.89%,1.96
www expresso guanabara com br passagem,54,829,6.51%,1.91
passagem de ônibus são luís guanabara,54,790,6.84%,2.79
passagem de ônibus brasília rio de janeiro guanabara,54,767,7.04%,1.98
viação guanabara leito,54,744,7.26%,2.83
comprar passagem da guanabara,54,728,7.42%,2.34
passagen guanabara,54,702,7.69%,1.35
ônibus recife joão pessoa guanabara,54,701,7.7%,2.43
www viagem guanabara,54,473,11.42%,1.29
guanabara onibus fortaleza,54,459,11.76%,1.09
passagem de onibus util,53,2248,2.36%,5.33
empresa guanabara fortaleza,53,821,6.46%,2.78
guanabara itapaje,53,677,7.83%,3.34
guanabara passagem para idoso,53,583,9.09%,2.72
expresso guanabara goiania,52,1769,2.94%,3.44
fortaleza recife guanabara,52,742,7.01%,2.03
viação guanabara salvador,52,741,7.02%,2.07
guanabara belém,52,706,7.37%,2.77
real expresso site,52,638,8.15%,3.27
passagem de ônibus para joão pessoa guanabara,52,571,9.11%,2.25
telefone do guichê da guanabara,52,448,11.61%,3.35
guanabara messejana,51,3815,1.34%,3.71
quero passagem guanabara,51,2422,2.11%,3.54
viação rapido federal,51,2350,2.17%,6.65
guanabara caxias ma,51,1658,3.08%,4.77
passagem de natal para fortaleza guanabara,51,1434,3.56%,5.49
guanabara anapolis,51,1429,3.57%,2.62
ônibus natal recife guanabara,51,1088,4.69%,3.61
passagem de recife para fortaleza guanabara,51,1039,4.91%,3.51
uanabara,51,761,6.7%,1.88
passagem para guanabara,51,511,9.98%,1.35
consorcio guanabara,51,339,15.04%,1.41
passagens para fortaleza ônibus,50,7552,0.66%,9.4
rápido federal passagens,50,2187,2.29%,6.93
ouvidoria guanabara,50,1169,4.28%,4.68
guanabafa,50,1119,4.47%,1.75
granabara,50,1016,4.92%,1.62
passagem guanabara sobral fortaleza,50,827,6.05%,2.51
guanabara quixadá,50,800,6.25%,3.19
ônibus guanabara passagem,50,793,6.31%,1.19
passagem id jovem guanabara,50,555,9.01%,3.83
guanabara ce,50,473,10.57%,1.14
passagem para rio de janeiro,49,10671,0.46%,19.86
clickbus guanabara,49,3225,1.52%,4.53
passagem recife fortaleza guanabara,49,713,6.87%,2.56
real guanabara expresso,49,537,9.12%,1.35
guanabarautil,49,470,10.43%,1.03
guanabara comprar online,49,395,12.41%,3.67
guanabara mudar passagem,49,366,13.39%,2.85
telefone da empresa de ônibus guanabara,48,1806,2.66%,4.21
passagens real expresso,48,1452,3.31%,6.14
guanabara são luís,48,1336,3.59%,2.7
rodoviária guanabara,48,1220,3.93%,2.2
rastrear onibus guanabara,48,925,5.19%,4.43
guanabara],48,858,5.59%,1.73
passagem guanabra,48,686,7%,1.36
passagens ônibus guanabara,48,400,12%,1.14
guanabara alterar passagem,48,389,12.34%,2.82
guanabara jijoca,47,1370,3.43%,3.08
passagem para parnaíba guanabara,47,1003,4.69%,3.41
guanabara curitiba,47,961,4.89%,3.53
brisa guanabara,47,825,5.7%,1.27
guanabara maranhão,47,719,6.54%,1.98
util.guanabara,47,630,7.46%,1.13
viacao guanabara brasilia,47,565,8.32%,1.86
passagens guanabara para fortaleza,47,558,8.42%,1.14
guanabara vitoria da conquista,47,501,9.38%,2.87
passagem real expresso guanabara,47,430,10.93%,1.36
emitir passagem guanabara,47,357,13.17%,1.86
viação guanabra,47,346,13.58%,1.01
guanabara rodoviária são luís,46,1754,2.62%,4.92
guaabara,46,1077,4.27%,2.16
guanabada,46,1053,4.37%,1.76
guanabara ceará,46,895,5.14%,1.84
vuanabara,46,892,5.16%,2
expresso guanabara ltda,46,766,6.01%,2.15
guanabara comprar passagem online,46,490,9.39%,1.04
viagem de onibus guanabara,46,484,9.5%,1.62
numero guanabara,45,4108,1.1%,4.73
guanabara real expresso telefone,45,2038,2.21%,4.54
guanabara irece,45,987,4.56%,2.28
linha de ônibus guanabara,45,962,4.68%,3.04
troca de passagem guanabara,45,808,5.57%,3.18
guanabaraa,45,780,5.77%,1.78
guanabara para fortaleza,45,777,5.79%,1.31
expresso guanabara belém,45,548,8.21%,2.05
passagem guanabara juazeiro do norte,45,519,8.67%,2.24
expresso guanabara comprar passagem,45,462,9.74%,1.15
viacao.guanabara,45,444,10.14%,1
real expresso comprar passagem,45,419,10.74%,7.06
comprar passagem de onibus,44,10089,0.44%,14.3
guanabara preços,44,2608,1.69%,7.44
como remarcar passagem guanabara,44,1249,3.52%,4.26
comprar passagem guanabara online,44,902,4.88%,1.82
guanabarq,44,852,5.16%,2.06
passagem guanabara teresina fortaleza,44,839,5.24%,2.73
a viação guanabara,44,726,6.06%,1.83
guanabara onibus brasilia,44,723,6.09%,1.6
aviacao guanabara,44,687,6.4%,1.02
viajeguanabara.com.br guanabara passagens,44,630,6.98%,1
guanabara empresa de onibus,44,518,8.49%,2.01
passagem fortaleza joão pessoa guanabara,44,461,9.54%,3.19
viação guanabara site oficial,44,369,11.92%,1.26
util.com,44,179,24.58%,2.13
rapido federal onibus,43,2256,1.91%,6.93
guanabara juazeiro do norte telefone,43,1616,2.66%,4.92
guanabara floriano,43,1561,2.75%,3.24
