Data,Cliques,Impressões,CTR,Posição
2026-04-14,14,2805,0.5%,1.3
2026-04-15,18,7934,0.23%,1.1
2026-04-16,6,575,1.04%,2.7
2026-04-17,14,611,2.29%,3.2
2026-04-18,4,1158,0.35%,1.7
2026-04-19,6,822,0.73%,2.5
2026-04-20,14,766,1.83%,2.6
2026-04-21,15,882,1.7%,3.3
2026-04-22,10,855,1.17%,3.4
2026-04-23,14,1000,1.4%,2.9
2026-04-24,14,767,1.83%,2.2
2026-04-25,10,674,1.48%,2.4
2026-04-26,8,709,1.13%,2.1
2026-04-27,22,713,3.09%,2.4
2026-04-28,9,688,1.31%,2.4
2026-04-29,20,757,2.64%,2.1
2026-04-30,11,766,1.44%,2.1
2026-05-01,20,632,3.16%,2.3
2026-05-02,15,721,2.08%,2.2
2026-05-03,17,909,1.87%,2.3
2026-05-04,20,832,2.4%,2.1
2026-05-05,7,731,0.96%,2.4
2026-05-06,17,773,2.2%,2.3
2026-05-07,17,1020,1.67%,2.1
2026-05-08,5,451,1.11%,3
2026-05-09,2,416,0.48%,2.8
2026-05-10,4,454,0.88%,2.5
2026-05-11,2,455,0.44%,3.2
2026-05-12,4,1166,0.34%,3.7
2026-05-13,7,929,0.75%,3.7
2026-05-14,3,619,0.48%,4.7
2026-05-15,2,572,0.35%,4.8
2026-05-16,3,609,0.49%,5.5
2026-05-17,3,818,0.37%,9.2
2026-05-18,4,609,0.66%,5.3
2026-05-19,5,632,0.79%,6
2026-05-20,2,815,0.25%,5.7
2026-05-21,16,951,1.68%,4.5
2026-05-22,9,908,0.99%,6
2026-05-23,6,832,0.72%,5.6
2026-05-24,7,791,0.88%,5.4
2026-05-25,8,820,0.98%,5.7
2026-05-26,6,716,0.84%,5.5
2026-05-27,2,75,2.67%,4.9
