Data,Cliques,Impressões,CTR,Posição
2025-07-08,562,12441,4.52%,15.3
2025-07-09,527,12679,4.16%,17.5
2025-07-10,561,12387,4.53%,17
2025-07-11,496,11524,4.3%,17
2025-07-12,344,8433,4.08%,20.8
2025-07-13,393,8806,4.46%,20.3
2025-07-14,601,12407,4.84%,15.5
2025-07-15,526,12288,4.28%,15.5
2025-07-16,547,10574,5.17%,15.8
2025-07-17,514,11061,4.65%,15.5
2025-07-18,444,13771,3.22%,14.3
2025-07-19,310,12677,2.45%,15.8
2025-07-20,376,13601,2.76%,16.1
2025-07-21,558,15073,3.7%,14.2
2025-07-22,532,16090,3.31%,13.7
2025-07-23,546,14849,3.68%,16.2
2025-07-24,504,13920,3.62%,15.2
2025-07-25,538,13876,3.88%,19.4
2025-07-26,454,8505,5.34%,18.3
2025-07-27,385,9290,4.14%,19.8
2025-07-28,565,9461,5.97%,16.5
2025-07-29,465,9885,4.7%,17.9
2025-07-30,450,10618,4.24%,15.9
2025-07-31,482,8834,5.46%,15.6
2025-08-01,452,8167,5.53%,16.6
2025-08-02,348,7010,4.96%,17.5
2025-08-03,378,7863,4.81%,18.2
2025-08-04,524,9781,5.36%,16.2
2025-08-05,470,7631,6.16%,17.3
2025-08-06,456,8094,5.63%,18.2
2025-08-07,493,7608,6.48%,18.7
2025-08-08,483,6847,7.05%,18.8
2025-08-09,361,5784,6.24%,19.7
2025-08-10,373,5636,6.62%,21.2
2025-08-11,539,6519,8.27%,18
2025-08-12,479,7132,6.72%,18.7
2025-08-13,482,7122,6.77%,18.1
2025-08-14,418,6528,6.4%,18.7
2025-08-15,364,6607,5.51%,19.3
2025-08-16,362,6468,5.6%,21
2025-08-17,370,5569,6.64%,18.3
2025-08-18,460,7162,6.42%,20.1
2025-08-19,503,6706,7.5%,21
2025-08-20,463,5999,7.72%,19.3
2025-08-21,504,5865,8.59%,20.4
2025-08-22,415,6815,6.09%,19.9
2025-08-23,305,6793,4.49%,20.7
2025-08-24,339,10446,3.25%,31.9
2025-08-25,507,8140,6.23%,19.4
2025-08-26,482,8007,6.02%,19.4
2025-08-27,463,6456,7.17%,20
2025-08-28,436,6189,7.04%,23.2
2025-08-29,432,6581,6.56%,21.6
2025-08-30,330,5536,5.96%,26
2025-08-31,458,5710,8.02%,24.5
2025-09-01,541,6653,8.13%,19.8
2025-09-02,523,6618,7.9%,22
2025-09-03,547,6384,8.57%,21.2
2025-09-04,470,6214,7.56%,21.3
2025-09-05,460,5955,7.72%,22.8
2025-09-06,395,5359,7.37%,23.7
2025-09-07,389,6461,6.02%,25.1
2025-09-08,642,7364,8.72%,18.9
2025-09-09,675,7642,8.83%,16.7
2025-09-10,739,7546,9.79%,16.5
2025-09-11,693,8172,8.48%,13.9
2025-09-12,518,7830,6.62%,10.6
2025-09-13,344,5525,6.23%,9.3
2025-09-14,354,5392,6.57%,9.1
2025-09-15,561,6868,8.17%,8.7
2025-09-16,560,7919,7.07%,7.7
2025-09-17,554,6531,8.48%,8.4
2025-09-18,547,7303,7.49%,8.3
2025-09-19,505,7478,6.75%,8.4
2025-09-20,340,5371,6.33%,8.9
2025-09-21,368,5740,6.41%,9.2
2025-09-22,527,6945,7.59%,8.6
2025-09-23,564,7093,7.95%,8.9
2025-09-24,477,6574,7.26%,9.1
2025-09-25,356,6623,5.38%,8.6
2025-09-26,290,7131,4.07%,8.6
2025-09-27,237,6071,3.9%,8.5
2025-09-28,274,6919,3.96%,8.6
2025-09-29,384,8111,4.73%,8.3
2025-09-30,428,8424,5.08%,7.7
2025-10-01,420,8110,5.18%,7.8
2025-10-02,378,7961,4.75%,7.6
2025-10-03,391,6185,6.32%,9.3
2025-10-04,277,5133,5.4%,8.2
2025-10-05,294,5507,5.34%,8.6
2025-10-06,466,5984,7.79%,7.5
2025-10-07,428,6106,7.01%,7.5
2025-10-08,407,7748,5.25%,8
2025-10-09,368,6830,5.39%,8
2025-10-10,369,6352,5.81%,7.9
2025-10-11,236,5804,4.07%,8.8
2025-10-12,313,6449,4.85%,8.5
2025-10-13,507,8824,5.75%,8.4
2025-10-14,467,8084,5.78%,8.4
2025-10-15,398,8209,4.85%,8.6
2025-10-16,408,11018,3.7%,8.8
2025-10-17,392,9695,4.04%,8.9
2025-10-18,317,7198,4.4%,9.7
2025-10-19,340,7313,4.65%,9
2025-10-20,700,9096,7.7%,8.5
2025-10-21,492,7030,7%,8.7
2025-10-22,427,5839,7.31%,8.3
2025-10-23,460,5765,7.98%,8.4
2025-10-24,373,5761,6.47%,8
2025-10-25,284,4782,5.94%,8.5
2025-10-26,325,5520,5.89%,9.6
2025-10-27,401,6801,5.9%,8.4
2025-10-28,366,6277,5.83%,9.2
2025-10-29,329,6199,5.31%,8.7
2025-10-30,364,7892,4.61%,8.6
2025-10-31,327,9306,3.51%,10.1
2025-11-01,227,7457,3.04%,9.9
2025-11-02,317,8818,3.59%,9
2025-11-03,406,10826,3.75%,8.8
2025-11-04,450,11288,3.99%,8.4
2025-11-05,357,11130,3.21%,8.5
2025-11-06,355,10231,3.47%,8.4
2025-11-07,300,9547,3.14%,8.5
2025-11-08,244,7964,3.06%,8.7
2025-11-09,290,8331,3.48%,8.7
2025-11-10,379,15836,2.39%,8.1
2025-11-11,368,12496,2.94%,7.8
2025-11-12,409,12526,3.27%,7.8
2025-11-13,416,11550,3.6%,7.3
2025-11-14,303,11269,2.69%,7.5
2025-11-15,279,9314,3%,7.8
2025-11-16,291,11785,2.47%,13.2
2025-11-17,429,11428,3.75%,8.1
2025-11-18,457,13164,3.47%,7.8
2025-11-19,408,10903,3.74%,7.6
2025-11-20,274,8843,3.1%,7.8
2025-11-21,341,8898,3.83%,7.1
2025-11-22,228,7528,3.03%,8
2025-11-23,322,8660,3.72%,8
2025-11-24,370,11667,3.17%,7.9
2025-11-25,496,11643,4.26%,7.8
2025-11-26,743,11640,6.38%,8.3
2025-11-27,724,12369,5.85%,7.7
2025-11-28,694,12895,5.38%,7.7
2025-11-29,500,10158,4.92%,8
2025-11-30,623,12322,5.06%,7.7
2025-12-01,878,15233,5.76%,7.9
2025-12-02,805,15661,5.14%,7.9
2025-12-03,779,14981,5.2%,7.9
2025-12-04,756,14799,5.11%,7.8
2025-12-05,698,16704,4.18%,7.8
2025-12-06,541,12844,4.21%,8
2025-12-07,659,14557,4.53%,7.9
2025-12-08,857,18128,4.73%,8.4
2025-12-09,917,18602,4.93%,7.9
2025-12-10,824,17436,4.73%,7.8
2025-12-11,837,18055,4.64%,7.8
2025-12-12,706,17742,3.98%,8.3
2025-12-13,597,14022,4.26%,8.3
2025-12-14,672,14719,4.57%,8.2
2025-12-15,899,19157,4.69%,8.3
2025-12-16,801,17885,4.48%,8.1
2025-12-17,687,16541,4.15%,8.1
2025-12-18,713,17452,4.09%,8.1
2025-12-19,632,18600,3.4%,8.4
2025-12-20,494,15882,3.11%,8.7
2025-12-21,489,15152,3.23%,8.6
2025-12-22,633,20665,3.06%,10.9
2025-12-23,546,17668,3.09%,8.8
2025-12-24,359,11886,3.02%,8.8
2025-12-25,497,14923,3.33%,8.4
2025-12-26,619,20020,3.09%,8.1
2025-12-27,514,17209,2.99%,8.5
2025-12-28,574,18855,3.04%,8.5
2025-12-29,688,21775,3.16%,8.6
2025-12-30,544,20150,2.7%,9
2025-12-31,343,13253,2.59%,8.7
2026-01-01,471,15892,2.96%,8.7
2026-01-02,742,21985,3.38%,8.3
2026-01-03,625,17549,3.56%,8.2
2026-01-04,582,17719,3.28%,8.2
2026-01-05,796,21604,3.68%,8.2
2026-01-06,827,21602,3.83%,8.2
2026-01-07,798,26006,3.07%,8.8
2026-01-08,681,20845,3.27%,8.4
2026-01-09,643,20280,3.17%,8.7
2026-01-10,548,15948,3.44%,8.8
2026-01-11,550,16984,3.24%,8.7
2026-01-12,754,20353,3.7%,8.5
2026-01-13,792,20409,3.88%,8.4
2026-01-14,736,21241,3.46%,8.4
2026-01-15,730,22944,3.18%,8.3
2026-01-16,636,19503,3.26%,8.8
2026-01-17,518,14690,3.53%,9.1
2026-01-18,567,18413,3.08%,12.3
2026-01-19,768,21201,3.62%,9.3
2026-01-20,738,19754,3.74%,8.6
2026-01-21,707,17265,4.09%,8.5
2026-01-22,756,16286,4.64%,8.3
2026-01-23,624,13553,4.6%,8.4
2026-01-24,473,11189,4.23%,8.6
2026-01-25,525,11123,4.72%,8.9
2026-01-26,700,12917,5.42%,8.6
2026-01-27,633,11669,5.42%,8.6
2026-01-28,688,12385,5.56%,8.4
2026-01-29,704,13102,5.37%,8.4
2026-01-30,624,13034,4.79%,8.6
2026-01-31,481,11931,4.03%,8.8
2026-02-01,509,12088,4.21%,8.7
2026-02-02,740,15800,4.68%,8.6
2026-02-03,780,15763,4.95%,8.2
2026-02-04,977,16270,6%,8.1
2026-02-05,706,15996,4.41%,8.5
2026-02-06,686,15590,4.4%,8.3
2026-02-07,547,12444,4.4%,7.7
2026-02-08,531,12737,4.17%,8
2026-02-09,776,15360,5.05%,8.3
2026-02-10,691,13880,4.98%,7.8
2026-02-11,646,13208,4.89%,7.8
2026-02-12,627,14604,4.29%,8.4
2026-02-13,577,13818,4.18%,7.8
2026-02-14,360,11800,3.05%,7.7
2026-02-15,397,13009,3.05%,8.3
2026-02-16,495,13386,3.7%,7.9
2026-02-17,554,14535,3.81%,7.9
2026-02-18,602,14965,4.02%,7.9
2026-02-19,630,15861,3.97%,7.7
2026-02-20,645,13058,4.94%,7.9
2026-02-21,472,9967,4.74%,8.1
2026-02-22,481,8776,5.48%,8.4
2026-02-23,590,11168,5.28%,7.8
2026-02-24,576,10626,5.42%,7.8
2026-02-25,615,13567,4.53%,7.7
2026-02-26,573,15723,3.64%,7.8
2026-02-27,549,11284,4.87%,7.9
2026-02-28,407,10341,3.94%,8.4
2026-03-01,535,11371,4.7%,8.9
2026-03-02,650,13345,4.87%,8.4
2026-03-03,731,13289,5.5%,8
2026-03-04,700,14750,4.75%,7.8
2026-03-05,721,14041,5.13%,7.5
2026-03-06,632,9464,6.68%,6.9
2026-03-07,485,10709,4.53%,8.3
2026-03-08,519,10072,5.15%,7.6
2026-03-09,700,12227,5.73%,7.5
2026-03-10,784,14491,5.41%,7.4
2026-03-11,692,13216,5.24%,7.4
2026-03-12,713,19836,3.59%,7.4
2026-03-13,648,16352,3.96%,7.2
2026-03-14,565,16542,3.42%,7.3
2026-03-15,668,19236,3.47%,8.5
2026-03-16,843,21029,4.01%,7.5
2026-03-17,876,21082,4.16%,7.6
2026-03-18,819,19211,4.26%,7.2
2026-03-19,747,19789,3.77%,7.6
2026-03-20,751,20712,3.63%,7.7
2026-03-21,631,17683,3.57%,7.8
2026-03-22,694,18907,3.67%,7.8
2026-03-23,908,22812,3.98%,7.6
2026-03-24,866,22024,3.93%,7.4
2026-03-25,794,22480,3.53%,7.6
2026-03-26,856,22890,3.74%,7.6
2026-03-27,735,21036,3.49%,7.5
2026-03-28,625,17579,3.56%,7.4
2026-03-29,615,18720,3.29%,7.6
2026-03-30,898,21630,4.15%,7.6
2026-03-31,952,20051,4.75%,7.3
2026-04-01,851,22231,3.83%,7.4
2026-04-02,641,17814,3.6%,7.2
2026-04-03,550,14507,3.79%,7.2
2026-04-04,581,14413,4.03%,6.8
2026-04-05,642,16293,3.94%,6.9
2026-04-06,799,17543,4.55%,6.9
2026-04-07,767,15090,5.08%,7.3
2026-04-08,771,12603,6.12%,6.8
2026-04-09,734,10532,6.97%,6.6
2026-04-10,677,9742,6.95%,6.7
2026-04-11,634,8708,7.28%,6.9
2026-04-12,613,8891,6.89%,7
2026-04-13,736,10737,6.85%,6.4
2026-04-14,806,10776,7.48%,6.3
2026-04-15,841,10308,8.16%,6.7
2026-04-16,836,10970,7.62%,6.6
2026-04-17,749,10924,6.86%,7.2
2026-04-18,498,8146,6.11%,7
2026-04-19,547,8934,6.12%,7
2026-04-20,882,12274,7.19%,7.1
2026-04-21,683,11582,5.9%,7.8
2026-04-22,803,10997,7.3%,7.5
2026-04-23,786,11143,7.05%,7.4
2026-04-24,770,9803,7.85%,7.3
2026-04-25,581,7581,7.66%,7.6
2026-04-26,554,8219,6.74%,7.9
2026-04-27,800,10225,7.82%,7.5
2026-04-28,821,8912,9.21%,7.4
2026-04-29,740,9535,7.76%,7.4
2026-04-30,621,7296,8.51%,7.1
2026-05-01,528,21371,2.47%,7.6
2026-05-02,467,21752,2.15%,6.1
2026-05-03,612,24873,2.46%,6
2026-05-04,751,6818,11.01%,6.6
2026-05-05,770,6104,12.61%,6.9
2026-05-06,775,6531,11.87%,7.2
2026-05-07,812,6540,12.42%,7
2026-05-08,651,6394,10.18%,7.3
2026-05-09,508,6030,8.42%,7.4
2026-05-10,513,6053,8.48%,7.8
2026-05-11,703,7327,9.59%,7.3
2026-05-12,622,8598,7.23%,8.2
2026-05-13,586,7438,7.88%,7.8
2026-05-14,620,6461,9.6%,7.5
2026-05-15,621,7562,8.21%,6.9
2026-05-16,540,8284,6.52%,7.5
2026-05-17,565,9295,6.08%,8.6
2026-05-18,689,17245,4%,7
2026-05-19,578,23637,2.45%,6.8
2026-05-20,557,24263,2.3%,6.9
2026-05-21,592,23672,2.5%,6.8
2026-05-22,496,12339,4.02%,7.4
2026-05-23,490,10085,4.86%,7.3
2026-05-24,565,10561,5.35%,7.4
2026-05-25,679,13412,5.06%,7.3
